Warriors of Sunlight jolly cooperation covenant
Princess Guard darkmoon protective order
E Keepers natural-logarithm maintaining order
Infinity Seekers endless-value pursuing pact
Zero Keepers null-value maintaining covenant
One Builders unity-value creating order
Prime Guardians indivisible-number protecting pact
Composite Builders divisible-number creating covenant
Even Keepers pair-divisible maintaining order
Odd Builders remainder-leaving creating pact
Positive Guardians greater-than-zero protecting covenant
Negative Keepers less-than-zero maintaining order
Rational Builders fraction-expressible creating pact
Irrational Keepers infinite-decimal maintaining covenant
Real Guardians number-line protecting order
Imaginary Builders square-root-negative creating pact
Complex Keepers real-imaginary maintaining covenant
Vector Builders directional-magnitude creating order
Matrix Shapers array-transformation forming pact
Function Creators input-output making covenant
Equation Builders balance-solving creating order
Inequality Keepers comparison-relation maintaining pact
Limit Seekers approaching-value pursuing covenant
Derivative Builders rate-change creating order
Integral Keepers area-accumulation maintaining pact
Differential Builders infinitesimal-change creating covenant
Calculus Keepers mathematical-analysis maintaining order
Algebra Builders symbol-manipulation creating pact
Geometry Keepers shape-study maintaining covenant
Trigonometry Builders triangle-relation creating order
Statistics Keepers data-analysis maintaining pact
Probability Builders chance-calculation creating covenant
Logic Keepers reasoning-structure maintaining order
Set Builders collection-theory creating pact
Group Keepers operation-structure maintaining covenant
Field Builders algebraic-structure creating order
Ring Keepers mathematical-structure maintaining pact
Space Builders dimensional-concept creating covenant
Time Keepers temporal-dimension maintaining order
Dimension Builders measurement-axis creating pact
Reality Keepers existence-concept maintaining covenant
Existence Builders being-state creating order
Being Keepers conscious-entity maintaining pact
Consciousness Builders awareness-state creating covenant
Awareness Keepers perception-level maintaining order
Perception Builders sensory-input creating pact
Sensation Keepers feeling-experience maintaining covenant
Experience Builders lived-reality creating order
Reality Keepers actual-existence maintaining pact
