Square Circle Geometric
Smart Stupid Intellect
Intelligent Ignorant Knowledge
Knowledgeable Unknowledgeable Information
Informed Uninformed Awareness
Aware Unaware Consciousness
Conscious Unconscious State
Awake Asleep Alertness
Alert Drowsy Vigilance
Vigilant Negligent Attention
Attentive Inattentive Focus
Focused Distracted Concentration
Concentrated Scattered Attention
Unified Fragmented Wholeness
Whole Partial Completeness
Complete Incomplete Totality
Total Partial Amount
Entire Fractional Wholeness
Full Empty Volume
Filled Vacant Occupancy
Occupied Free Availability
Available Taken Possession
Owned Unowned Property
Possessed Dispossessed Ownership
Had Lacked Possession
Held Released Grip
Grasped Dropped Control
Controlled Uncontrolled Management
Managed Unmanaged Supervision
Supervised Unsupervised Oversight
Watched Unwatched Observation
Observed Unobserved Attention
Noticed Unnoticed Recognition
Recognized Unrecognized Identification
Identified Unknown Identity
Known Unknown Familiarity
Familiar Strange Recognition
Recognized Strange Acknowledgment
Strange Familiar Oddity
Odd Even Number
Unusual Usual Normality
Normal Abnormal Standard
Standard Nonstandard Norm
Regular Irregular Pattern
Patterned Random Design
Designed Accidental Intention
Intentional Unintentional Purpose
Purposeful Purposeless Meaning
Meaningful Meaningless Significance
Significant Insignificant Importance
Important Unimportant Value
Valuable Worthless Worth
Worthy Unworthy Merit
Deserved Undeserved Justice
Just Unjust Fairness
Fair Unfair Equity
Equal Unequal Balance
Balanced Unbalanced Equilibrium
Stable Unstable Steadiness
Steady Unsteady Consistency
Consistent Inconsistent Reliability
Reliable Unreliable Dependability
Dependable Undependable Trust
Trustworthy Untrustworthy Faith
Faithful Unfaithful Loyalty
Loyal Disloyal Allegiance
Devoted Uncommitted Dedication
Dedicated Uncommitted Commitment
Committed Uncommitted Promise
